date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2026-01-01,0,00:00,down,10,0.33,0.13,0.14,0.15,0.17,0.26,74.0
2026-01-01,0,00:00,up,57,7.17,4.51,5.06,5.66,6.17,6.85,397.0
2026-01-01,1,04:00,up,4,8.00,1.43,1.56,1.90,3.62,6.25,17.0
2026-01-01,2,08:00,up,4,5.04,1.36,2.50,3.47,4.11,4.67,8.0
2026-01-01,3,12:00,up,3,12.00,1.19,2.07,3.55,7.77,10.31,19.0
2026-01-01,4,16:00,up,2,14.00,1.94,3.95,7.30,10.65,12.66,11.0
2026-01-01,5,20:00,up,3,3.44,0.66,0.68,0.70,2.07,2.89,11.0
2026-01-02,0,00:00,down,10,0.19,0.10,0.13,0.15,0.18,0.19,78.0
2026-01-02,0,00:00,up,48,6.50,5.21,5.50,5.86,6.23,6.48,353.0
2026-01-02,2,08:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,1.0
2026-01-02,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,3.0
2026-01-02,5,20:00,up,1,0.65,0.65,0.65,0.65,0.65,0.65,2.0
2026-01-03,0,00:00,down,9,0.15,0.10,0.10,0.11,0.12,0.13,79.0
2026-01-03,0,00:00,up,47,6.11,5.06,5.29,5.52,5.88,6.01,333.0
2026-01-03,1,04:00,up,1,2.21,2.21,2.21,2.21,2.21,2.21,5.0
2026-01-03,2,08:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,1.0
2026-01-03,2,08:00,up,2,4.77,1.11,1.72,2.73,3.75,4.36,5.0
2026-01-03,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,5.0
2026-01-03,4,16:00,up,3,6.10,1.67,3.12,5.55,5.82,5.99,5.0
2026-01-03,5,20:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,5.0
2026-01-04,0,00:00,down,9,0.15,0.09,0.09,0.10,0.10,0.11,77.0
2026-01-04,0,00:00,up,50,5.49,4.57,5.00,5.17,5.27,5.37,366.0
2026-01-04,1,04:00,up,2,2.66,2.34,2.39,2.48,2.57,2.62,5.0
2026-01-04,2,08:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,1.0
2026-01-04,2,08:00,up,2,4.28,1.06,1.59,2.49,3.38,3.92,11.0
2026-01-04,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,7.0
2026-01-04,4,16:00,up,1,5.50,5.50,5.50,5.50,5.50,5.50,5.0
2026-01-04,5,20:00,up,2,0.70,0.66,0.66,0.68,0.69,0.69,5.0
2026-01-05,0,00:00,down,11,0.12,0.07,0.08,0.09,0.10,0.10,77.0
2026-01-05,0,00:00,up,44,10.67,4.60,4.92,5.38,6.38,8.28,354.0
2026-01-05,1,04:00,up,1,2.34,2.34,2.34,2.34,2.34,2.34,7.0
2026-01-05,2,08:00,up,2,5.26,1.16,1.84,2.98,4.12,4.80,9.0
2026-01-05,3,12:00,up,2,0.70,0.66,0.66,0.68,0.69,0.69,9.0
2026-01-05,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,2.0
2026-01-05,5,20:00,up,2,0.70,0.66,0.66,0.68,0.69,0.69,7.0
2026-01-06,0,00:00,down,7,0.09,0.08,0.08,0.08,0.08,0.09,68.0
2026-01-06,0,00:00,up,47,11.49,5.64,6.53,7.62,8.93,9.98,344.0
2026-01-06,1,04:00,up,1,9.49,9.49,9.49,9.49,9.49,9.49,4.0
2026-01-06,2,08:00,down,1,0.07,0.07,0.07,0.07,0.07,0.07,5.0
2026-01-06,2,08:00,up,2,0.70,0.66,0.66,0.68,0.69,0.69,5.0
2026-01-06,3,12:00,down,2,0.09,0.08,0.08,0.08,0.09,0.09,6.0
2026-01-06,3,12:00,up,1,0.65,0.65,0.65,0.65,0.65,0.65,4.0
2026-01-06,4,16:00,down,1,0.07,0.07,0.07,0.07,0.07,0.07,5.0
2026-01-06,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-01-06,5,20:00,down,2,0.11,0.08,0.09,0.10,0.10,0.11,6.0
2026-01-06,5,20:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,6.0
2026-01-07,0,00:00,down,8,0.08,0.05,0.06,0.07,0.07,0.07,70.0
2026-01-07,0,00:00,up,42,10.47,6.87,7.69,8.73,9.34,9.94,344.0
2026-01-07,1,04:00,up,3,6.45,4.56,4.91,5.48,5.96,6.26,10.0
2026-01-07,2,08:00,up,1,4.90,4.90,4.90,4.90,4.90,4.90,15.0
2026-01-07,3,12:00,up,3,3.34,0.66,0.68,0.70,2.02,2.81,10.0
2026-01-07,4,16:00,up,1,4.90,4.90,4.90,4.90,4.90,4.90,15.0
2026-01-07,5,20:00,up,2,0.70,0.66,0.66,0.68,0.69,0.69,11.0
2026-01-08,0,00:00,down,6,0.07,0.05,0.05,0.05,0.06,0.07,68.0
2026-01-08,0,00:00,up,43,9.96,7.93,8.45,9.00,9.39,9.76,356.0
2026-01-08,1,04:00,up,3,6.45,4.66,5.10,5.82,6.13,6.32,6.0
2026-01-08,2,08:00,up,2,7.70,6.80,6.95,7.20,7.45,7.60,2.0
2026-01-08,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,5.0
2026-01-08,4,16:00,up,1,31.78,31.78,31.78,31.78,31.78,31.78,4.0
2026-01-08,5,20:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,8.0
2026-01-09,0,00:00,down,10,0.05,0.05,0.05,0.05,0.05,0.05,73.0
2026-01-09,0,00:00,up,42,9.17,8.01,8.46,8.79,8.93,9.00,342.0
2026-01-09,1,04:00,up,4,6.03,4.54,4.65,4.98,5.45,5.80,15.0
2026-01-09,2,08:00,down,1,0.04,0.04,0.04,0.04,0.04,0.04,5.0
2026-01-09,2,08:00,up,4,13.75,1.96,3.85,6.21,9.08,11.88,19.0
2026-01-09,3,12:00,up,3,9.13,0.66,0.68,0.70,4.92,7.44,12.0
2026-01-09,4,16:00,up,3,25.00,11.31,14.38,19.49,22.24,23.90,9.0
2026-01-09,5,20:00,down,1,0.04,0.04,0.04,0.04,0.04,0.04,5.0
2026-01-09,5,20:00,up,3,3.98,0.66,0.68,0.70,2.34,3.32,14.0
2026-01-10,0,00:00,down,7,0.04,0.02,0.04,0.04,0.04,0.04,64.0
2026-01-10,0,00:00,up,43,8.37,7.22,7.81,8.00,8.09,8.23,379.0
2026-01-10,1,04:00,up,2,3.50,0.98,1.40,2.10,2.80,3.22,12.0
2026-01-10,2,08:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,1.0
2026-01-10,2,08:00,up,3,7.80,0.66,0.68,0.70,4.25,6.38,5.0
2026-01-10,3,12:00,up,2,0.70,0.66,0.66,0.68,0.69,0.69,12.0
2026-01-10,4,16:00,up,1,14.18,14.18,14.18,14.18,14.18,14.18,8.0
2026-01-10,5,20:00,up,3,3.29,0.66,0.68,0.70,1.99,2.77,12.0
2026-01-11,0,00:00,down,8,0.04,0.02,0.03,0.03,0.03,0.03,83.0
2026-01-11,0,00:00,up,46,7.50,6.54,6.86,7.12,7.35,7.47,386.0
2026-01-11,1,04:00,up,3,5.75,1.28,2.14,3.58,4.67,5.32,7.0
2026-01-11,2,08:00,up,1,6.70,6.70,6.70,6.70,6.70,6.70,7.0
2026-01-11,3,12:00,up,2,0.70,0.66,0.66,0.68,0.69,0.69,7.0
2026-01-11,5,20:00,up,4,5.40,0.67,0.69,2.03,3.87,4.79,12.0
2026-01-12,0,00:00,down,7,0.03,0.02,0.02,0.02,0.03,0.03,48.0
2026-01-12,0,00:00,up,45,8.01,6.87,7.09,7.38,7.71,7.91,378.0
2026-01-12,1,04:00,up,2,4.83,4.27,4.37,4.52,4.67,4.77,5.0
2026-01-12,2,08:00,up,1,9.91,9.91,9.91,9.91,9.91,9.91,1.0
2026-01-12,3,12:00,up,3,0.80,0.66,0.68,0.70,0.75,0.78,8.0
2026-01-12,4,16:00,up,1,12.25,12.25,12.25,12.25,12.25,12.25,7.0
2026-01-12,5,20:00,up,3,0.80,0.66,0.68,0.70,0.75,0.78,5.0
2026-01-13,0,00:00,down,7,0.03,0.02,0.02,0.02,0.03,0.03,62.0
2026-01-13,0,00:00,up,47,11.99,6.82,7.44,7.60,7.78,7.87,347.0
2026-01-13,1,04:00,up,4,4.75,3.43,3.73,4.16,4.50,4.65,10.0
2026-01-13,2,08:00,down,3,0.06,0.02,0.03,0.04,0.05,0.06,5.0
2026-01-13,2,08:00,up,3,7.73,1.73,3.28,5.86,6.79,7.36,7.0
2026-01-13,3,12:00,up,4,9.25,0.73,0.78,4.08,7.84,8.69,16.0
2026-01-13,4,16:00,up,3,7.92,1.89,3.52,6.23,7.08,7.58,11.0
2026-01-13,5,20:00,up,3,3.37,0.72,0.75,0.80,2.08,2.86,9.0
2026-01-14,0,00:00,down,9,0.02,0.01,0.01,0.02,0.02,0.02,71.0
2026-01-14,0,00:00,up,37,16.00,7.36,7.73,8.05,8.88,10.53,221.0
2026-01-14,1,04:00,down,1,0.02,0.02,0.02,0.02,0.02,0.02,5.0
2026-01-14,1,04:00,up,1,3.49,3.49,3.49,3.49,3.49,3.49,1.0
2026-01-14,2,08:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,5.0
2026-01-14,3,12:00,down,1,0.02,0.02,0.02,0.02,0.02,0.02,5.0
2026-01-14,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-01-14,4,16:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,5.0
2026-01-14,4,16:00,up,2,0.80,0.71,0.72,0.75,0.78,0.79,2.0
2026-01-15,0,00:00,down,7,0.02,0.01,0.01,0.01,0.01,0.02,66.0
2026-01-15,0,00:00,up,45,15.49,8.07,8.68,9.88,12.54,14.89,333.0
2026-01-15,1,04:00,up,3,8.00,5.36,5.59,5.98,6.99,7.60,4.0
2026-01-15,2,08:00,up,2,10.95,10.29,10.40,10.59,10.77,10.88,8.0
2026-01-15,3,12:00,up,2,0.80,0.71,0.72,0.75,0.78,0.79,8.0
2026-01-15,4,16:00,up,2,6.50,1.37,2.23,3.65,5.08,5.93,8.0
2026-01-15,5,20:00,up,2,3.72,3.28,3.35,3.48,3.60,3.67,5.0
2026-01-16,0,00:00,down,7,0.01,0.01,0.01,0.01,0.01,0.01,68.0
2026-01-16,0,00:00,up,51,14.20,1.83,10.00,11.16,11.93,12.87,392.0
2026-01-16,1,04:00,up,3,9.96,1.72,3.26,5.82,7.89,9.13,5.0
2026-01-16,2,08:00,up,2,8.99,1.62,2.85,4.89,6.94,8.17,8.0
2026-01-16,3,12:00,up,2,0.80,0.71,0.72,0.75,0.78,0.79,7.0
2026-01-16,4,16:00,up,2,14.95,2.21,4.34,7.87,11.41,13.54,5.0
2026-01-16,5,20:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,5.0
2026-01-17,0,00:00,down,9,0.01,0.01,0.01,0.01,0.01,0.01,66.0
2026-01-17,0,00:00,up,45,12.58,8.98,10.58,11.25,11.70,12.10,349.0
2026-01-17,1,04:00,up,2,4.73,1.10,1.71,2.71,3.72,4.33,10.0
2026-01-17,2,08:00,up,2,10.00,7.49,7.91,8.61,9.30,9.72,11.0
2026-01-17,3,12:00,up,2,6.65,1.39,2.26,3.73,5.19,6.07,7.0
2026-01-17,4,16:00,up,1,17.47,17.47,17.47,17.47,17.47,17.47,7.0
2026-01-17,5,20:00,up,2,2.62,0.98,1.26,1.71,2.17,2.44,5.0
2026-01-18,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,70.0
2026-01-18,0,00:00,up,45,11.19,4.54,10.00,10.24,10.58,10.87,372.0
