date,block,block_start,direction,psr_type,price_eur_mw,volume_mw
2025-10-02,0,00:00,down,mixed,4.95,223
2025-10-02,1,04:00,down,mixed,3.68,220
2025-10-02,2,08:00,down,mixed,21.87,221
2025-10-02,3,12:00,down,mixed,23.23,163
2025-10-02,4,16:00,down,mixed,11.98,213
2025-10-02,5,20:00,down,mixed,1.74,223
2025-10-02,0,00:00,up,mixed,4.91,205
2025-10-02,1,04:00,up,mixed,25.9,205
2025-10-02,2,08:00,up,mixed,15.77,105
2025-10-02,3,12:00,up,mixed,11.71,105
2025-10-02,4,16:00,up,mixed,84.03,105
2025-10-02,5,20:00,up,mixed,21.98,180
2025-10-03,0,00:00,down,mixed,4.65,233
2025-10-03,1,04:00,down,mixed,3.32,223
2025-10-03,2,08:00,down,mixed,20.6,223
2025-10-03,3,12:00,down,mixed,20.31,148
2025-10-03,4,16:00,down,mixed,11.23,208
2025-10-03,5,20:00,down,mixed,1.83,223
2025-10-03,0,00:00,up,mixed,4.93,179
2025-10-03,1,04:00,up,mixed,21.78,105
2025-10-03,2,08:00,up,mixed,12.93,105
2025-10-03,3,12:00,up,mixed,9.58,105
2025-10-03,4,16:00,up,mixed,53.5,104
2025-10-03,5,20:00,up,mixed,19.2,176
2025-10-04,0,00:00,up,mixed,4.56,175
2025-10-04,1,04:00,up,mixed,12.88,105
2025-10-04,2,08:00,up,mixed,10.3,105
2025-10-04,3,12:00,up,mixed,7.22,105
2025-10-04,4,16:00,up,mixed,31.16,148
2025-10-04,5,20:00,up,mixed,14.58,116
2025-10-04,0,00:00,down,mixed,5.03,223
2025-10-04,1,04:00,down,mixed,4.23,223
2025-10-04,2,08:00,down,mixed,19.99,165
2025-10-04,3,12:00,down,mixed,19,148
2025-10-04,4,16:00,down,mixed,11.06,208
2025-10-04,5,20:00,down,mixed,2.92,223
2025-10-05,0,00:00,up,mixed,4.84,174
2025-10-05,1,04:00,up,mixed,9.5,139
2025-10-05,2,08:00,up,mixed,8.3,105
2025-10-05,3,12:00,up,mixed,5.73,105
2025-10-05,4,16:00,up,mixed,23.26,169
2025-10-05,5,20:00,up,mixed,12.12,176
2025-10-05,0,00:00,down,mixed,7.21,221
2025-10-05,1,04:00,down,mixed,6.29,221
2025-10-05,2,08:00,down,mixed,19.82,221
2025-10-05,3,12:00,down,mixed,17.25,143
2025-10-05,4,16:00,down,mixed,12.94,218
2025-10-05,5,20:00,down,mixed,4.38,203
2025-10-06,0,00:00,up,mixed,5.06,166
2025-10-06,1,04:00,up,mixed,12.51,168
2025-10-06,2,08:00,up,mixed,7.34,105
2025-10-06,3,12:00,up,mixed,4.79,105
