product,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,avg_volume
afrr,0,00:00,down,132,9.49,0.01,0.06,0.49,2.90,6.39,156.0
afrr,0,00:00,up,132,5.86,1.27,1.68,2.15,2.79,4.60,129.0
afrr,1,04:00,down,111,7.55,0.03,0.05,0.20,0.50,3.32,139.5
afrr,1,04:00,up,132,34.17,3.20,4.72,6.70,10.33,17.31,113.4
afrr,2,08:00,down,115,21.87,0.01,0.02,0.17,2.26,11.64,137.8
afrr,2,08:00,up,132,50.36,2.20,4.13,8.24,13.01,18.58,102.5
afrr,3,12:00,down,89,23.23,0.02,0.05,0.16,0.36,5.69,120.1
afrr,3,12:00,up,132,36.47,2.41,4.33,7.11,11.12,14.76,106.9
afrr,4,16:00,down,103,13.21,0.01,0.06,0.15,0.73,5.26,138.7
afrr,4,16:00,up,132,95.53,9.01,13.91,21.05,31.31,50.68,109.5
afrr,5,20:00,down,115,6.56,0.02,0.05,0.19,1.54,3.12,145.4
afrr,5,20:00,up,132,21.98,2.64,3.15,4.00,5.71,12.20,119.6
