date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2025-10-29,0,00:00,down,12,2.80,0.91,1.00,1.06,1.20,1.20,32.0
2025-10-29,0,00:00,up,48,15.63,14.20,14.54,14.75,14.95,15.04,357.0
2025-10-30,0,00:00,down,10,1.40,0.93,1.01,1.08,1.17,1.20,28.0
2025-10-30,0,00:00,up,52,15.40,13.51,14.40,14.82,15.16,15.40,349.0
2025-10-31,0,00:00,down,12,2.80,0.80,0.88,1.10,1.32,1.97,39.0
2025-10-31,0,00:00,up,56,15.84,13.82,14.24,14.62,14.87,15.12,429.0
2025-11-01,0,00:00,down,5,0.98,0.90,0.90,0.97,0.98,0.98,19.0
2025-11-01,0,00:00,up,50,14.48,13.05,13.50,14.02,14.43,14.47,476.0
2025-11-02,0,00:00,down,4,0.85,0.69,0.70,0.73,0.79,0.83,19.0
2025-11-02,0,00:00,up,47,13.49,12.45,12.72,13.05,13.30,13.30,426.0
2025-11-03,0,00:00,down,5,1.30,0.47,0.49,0.50,0.60,1.02,19.0
2025-11-03,0,00:00,up,59,16.84,12.22,12.69,12.90,13.26,13.51,402.0
2025-11-03,1,04:00,up,5,14.90,2.51,5.00,7.00,8.00,12.14,21.0
2025-11-03,2,08:00,up,3,14.90,7.13,8.21,9.99,12.45,13.92,19.0
2025-11-03,3,12:00,up,2,19.70,2.73,5.56,10.27,14.99,17.82,18.0
2025-11-03,4,16:00,up,2,49.70,11.27,17.68,28.35,39.03,45.43,22.0
2025-11-03,5,20:00,down,2,1.00,0.51,0.59,0.73,0.86,0.95,9.0
2025-11-03,5,20:00,up,4,9.99,2.05,3.95,6.50,8.50,9.39,20.0
2025-11-04,0,00:00,down,4,0.48,0.19,0.32,0.40,0.42,0.46,15.0
2025-11-04,0,00:00,up,53,15.61,12.56,12.90,13.26,13.88,14.20,354.0
2025-11-04,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,1.0
2025-11-04,3,12:00,down,1,0.21,0.21,0.21,0.21,0.21,0.21,1.0
2025-11-04,5,20:00,down,2,0.48,0.14,0.20,0.29,0.39,0.44,2.0
2025-11-04,5,20:00,up,1,0.79,0.79,0.79,0.79,0.79,0.79,3.0
2025-11-05,0,00:00,down,4,0.29,0.26,0.27,0.28,0.29,0.29,16.0
2025-11-05,0,00:00,up,52,15.42,12.94,13.41,14.01,14.70,14.84,368.0
2025-11-05,1,04:00,up,1,6.19,6.19,6.19,6.19,6.19,6.19,5.0
2025-11-05,2,08:00,up,1,6.89,6.89,6.89,6.89,6.89,6.89,1.0
2025-11-05,3,12:00,up,1,0.79,0.79,0.79,0.79,0.79,0.79,3.0
2025-11-05,5,20:00,down,1,0.29,0.29,0.29,0.29,0.29,0.29,1.0
2025-11-05,5,20:00,up,1,0.79,0.79,0.79,0.79,0.79,0.79,2.0
2025-11-06,0,00:00,down,2,0.10,0.10,0.10,0.10,0.10,0.10,15.0
2025-11-06,0,00:00,up,53,15.39,13.02,13.66,14.47,14.70,15.11,386.0
2025-11-06,1,04:00,up,1,5.66,5.66,5.66,5.66,5.66,5.66,6.0
2025-11-06,2,08:00,up,1,6.65,6.65,6.65,6.65,6.65,6.65,7.0
2025-11-06,3,12:00,up,4,15.46,3.10,6.56,8.74,10.62,13.52,7.0
2025-11-06,4,16:00,up,1,10.41,10.41,10.41,10.41,10.41,10.41,9.0
2025-11-06,5,20:00,up,2,2.80,2.80,2.80,2.80,2.80,2.80,4.0
2025-11-07,0,00:00,down,5,0.10,0.06,0.07,0.09,0.09,0.10,12.0
2025-11-07,0,00:00,up,51,15.29,13.31,14.00,14.40,14.69,15.00,394.0
2025-11-07,1,04:00,up,3,5.32,1.70,3.06,5.32,5.32,5.32,7.0
2025-11-07,2,08:00,up,1,4.89,4.89,4.89,4.89,4.89,4.89,6.0
2025-11-07,3,12:00,up,3,7.20,2.07,4.00,7.20,7.20,7.20,7.0
2025-11-07,4,16:00,up,4,14.22,3.60,7.82,10.17,11.18,13.01,7.0
2025-11-07,5,20:00,up,3,2.67,2.67,2.67,2.67,2.67,2.67,6.0
2025-11-08,0,00:00,down,2,0.05,0.04,0.04,0.04,0.05,0.05,13.0
2025-11-08,0,00:00,up,50,14.88,13.09,13.48,13.95,14.20,14.59,413.0
2025-11-09,0,00:00,down,3,0.04,0.02,0.03,0.03,0.04,0.04,15.0
2025-11-09,0,00:00,up,40,13.81,12.86,13.00,13.32,13.55,13.66,322.0
2025-11-09,1,04:00,up,1,0.75,0.75,0.75,0.75,0.75,0.75,2.0
2025-11-09,2,08:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,4.0
2025-11-09,4,16:00,up,1,7.78,7.78,7.78,7.78,7.78,7.78,10.0
2025-11-09,5,20:00,up,1,0.75,0.75,0.75,0.75,0.75,0.75,2.0
2025-11-10,0,00:00,down,2,0.02,0.01,0.01,0.01,0.02,0.02,11.0
2025-11-10,0,00:00,up,53,16.04,13.02,13.38,13.68,14.01,14.40,387.0
2025-11-11,0,00:00,down,2,0.01,0.01,0.01,0.01,0.01,0.01,11.0
2025-11-11,0,00:00,up,52,16.00,13.01,13.50,13.91,14.33,14.40,394.0
2025-11-11,1,04:00,up,3,7.70,7.14,7.35,7.70,7.70,7.70,8.0
2025-11-11,2,08:00,up,1,2.89,2.89,2.89,2.89,2.89,2.89,5.0
2025-11-11,3,12:00,up,4,14.70,3.65,7.92,11.15,12.68,13.89,9.0
2025-11-11,4,16:00,up,2,30.00,11.53,14.61,19.74,24.87,27.95,7.0
2025-11-11,5,20:00,up,3,4.16,1.39,2.43,4.16,4.16,4.16,7.0
2025-11-12,0,00:00,down,2,0.01,0.01,0.01,0.01,0.01,0.01,13.0
2025-11-12,0,00:00,up,52,20.54,12.04,13.68,14.19,14.34,14.76,357.0
2025-11-12,1,04:00,up,3,8.47,5.63,6.58,8.15,8.31,8.41,12.0
2025-11-12,2,08:00,up,2,2.79,2.71,2.72,2.75,2.77,2.78,12.0
2025-11-12,3,12:00,up,5,13.90,4.48,10.00,10.31,12.00,13.14,10.0
2025-11-12,4,16:00,up,4,13.07,7.44,8.10,9.39,11.00,12.24,18.0
2025-11-12,5,20:00,up,4,4.59,1.82,3.35,4.39,4.59,4.59,8.0
2025-11-13,0,00:00,down,2,0.01,0.01,0.01,0.01,0.01,0.01,11.0
2025-11-13,0,00:00,up,57,17.92,12.67,13.70,14.42,14.60,15.31,425.0
2025-11-13,1,04:00,up,1,8.32,8.32,8.32,8.32,8.32,8.32,6.0
2025-11-13,2,08:00,up,3,14.27,4.53,7.33,12.00,13.13,13.82,24.0
2025-11-13,3,12:00,up,3,16.00,2.78,5.74,10.68,13.34,14.94,16.0
2025-11-13,5,20:00,up,3,14.27,1.63,2.87,4.94,9.61,12.40,18.0
2025-11-14,0,00:00,down,2,0.01,0.01,0.01,0.01,0.01,0.01,11.0
2025-11-14,0,00:00,up,49,14.85,13.33,13.90,14.21,14.49,14.61,397.0
2025-11-14,1,04:00,up,1,8.02,8.02,8.02,8.02,8.02,8.02,2.0
2025-11-14,2,08:00,up,1,2.42,2.42,2.42,2.42,2.42,2.42,5.0
2025-11-14,3,12:00,up,2,12.00,1.92,3.60,6.40,9.20,10.88,4.0
2025-11-14,4,16:00,up,1,25.25,25.25,25.25,25.25,25.25,25.25,9.0
2025-11-14,5,20:00,up,1,4.71,4.71,4.71,4.71,4.71,4.71,5.0
2025-11-15,0,00:00,down,2,0.01,0.01,0.01,0.01,0.01,0.01,11.0
2025-11-15,0,00:00,up,53,14.42,12.15,13.20,13.59,13.90,14.00,371.0
2025-11-15,1,04:00,up,1,0.65,0.65,0.65,0.65,0.65,0.65,2.0
2025-11-15,2,08:00,up,2,2.16,0.94,1.14,1.48,1.82,2.02,2.0
2025-11-15,3,12:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,4.0
2025-11-15,4,16:00,up,2,20.32,2.75,5.68,10.56,15.44,18.37,14.0
2025-11-15,5,20:00,up,1,4.43,4.43,4.43,4.43,4.43,4.43,5.0
2025-11-16,0,00:00,down,2,0.01,0.01,0.01,0.01,0.01,0.01,13.0
2025-11-16,0,00:00,up,42,13.47,12.03,12.70,13.17,13.25,13.42,365.0
2025-11-16,1,04:00,up,2,7.26,1.31,2.30,3.95,5.61,6.60,8.0
2025-11-16,2,08:00,up,3,9.96,1.07,1.41,1.97,5.97,8.36,8.0
2025-11-16,3,12:00,up,2,12.00,1.96,3.64,6.42,9.21,10.88,16.0
2025-11-16,4,16:00,up,2,9.78,9.41,9.47,9.57,9.68,9.74,10.0
2025-11-16,5,20:00,up,2,9.00,4.78,5.48,6.65,7.83,8.53,11.0
