date,block,block_start,direction,psr_type,price_eur_mw,volume_mw
2026-01-01,0,00:00,down,mixed,0.19,73
2026-01-02,0,00:00,down,mixed,0.15,73
2026-01-03,0,00:00,down,mixed,0.12,73
2026-01-03,0,00:00,up,mixed,5.54,333
2026-01-03,1,04:00,up,mixed,5.56,333
2026-01-03,2,08:00,up,mixed,5.57,333
2026-01-03,3,12:00,up,mixed,5.54,333
2026-01-03,4,16:00,up,mixed,5.58,333
2026-01-03,5,20:00,up,mixed,5.54,333
2026-01-04,0,00:00,down,mixed,0.11,73
2026-01-05,0,00:00,down,mixed,0.1,68
2026-01-06,0,00:00,down,mixed,0.08,68
2026-01-06,0,00:00,up,mixed,7.8,344
2026-01-06,1,04:00,up,mixed,7.94,342
2026-01-06,2,08:00,up,mixed,7.82,343
2026-01-06,3,12:00,up,mixed,7.84,342
2026-01-06,5,20:00,up,mixed,7.8,344
2026-01-07,0,00:00,down,mixed,0.06,68
2026-01-08,0,00:00,down,mixed,0.06,68
2026-01-09,0,00:00,down,mixed,0.05,68
2026-01-11,0,00:00,down,mixed,0.03,68
2026-01-12,0,00:00,down,mixed,0.03,66
2026-01-14,0,00:00,down,mixed,0.02,66
2026-01-15,0,00:00,down,mixed,0.01,66
2026-01-16,0,00:00,down,mixed,0.01,66
2026-01-17,0,00:00,down,mixed,0.01,66
2026-01-18,0,00:00,down,mixed,0.01,66
2026-01-19,0,00:00,down,mixed,0.01,73
2026-01-20,0,00:00,up,mixed,12.77,363
2026-01-20,0,00:00,down,mixed,0.01,73
2026-01-21,0,00:00,down,mixed,0.01,73
2026-01-22,0,00:00,down,mixed,0.01,73
2026-01-23,0,00:00,down,mixed,0.01,73
2026-01-24,0,00:00,down,mixed,0.01,73
2026-01-25,0,00:00,down,mixed,0.01,73
2026-01-26,0,00:00,down,mixed,0.01,67
2026-01-27,0,00:00,down,mixed,0.01,67
2026-01-28,0,00:00,down,mixed,0.01,67
2026-01-29,0,00:00,down,mixed,0.01,67
2026-01-30,0,00:00,down,mixed,0.01,67
2026-01-31,0,00:00,down,mixed,0.01,67
2026-02-01,0,00:00,down,mixed,0.01,60
2026-02-02,0,00:00,down,mixed,0.01,59
2026-02-03,0,00:00,down,mixed,0.01,59
2026-02-04,0,00:00,down,mixed,0.01,59
2026-02-05,0,00:00,down,mixed,0.01,59
2026-02-06,0,00:00,up,mixed,9.44,337
2026-02-06,2,08:00,up,mixed,9.46,337
2026-02-06,3,12:00,up,mixed,9.36,340
2026-02-06,4,16:00,up,mixed,9.41,338
2026-02-06,0,00:00,down,mixed,0.01,59
2026-02-07,0,00:00,up,mixed,8.94,328
2026-02-07,0,00:00,down,mixed,0.01,59
2026-02-08,0,00:00,down,mixed,0.01,59
2026-02-09,0,00:00,down,mixed,0.01,58
2026-02-10,0,00:00,down,mixed,0.01,58
2026-02-11,0,00:00,down,mixed,0.01,58
