product,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,avg_volume
mfrr,0,00:00,down,112,3.33,0.01,0.01,0.10,0.36,0.91,40.1
mfrr,0,00:00,up,16,20.97,8.37,11.94,14.14,18.15,20.41,369.6
mfrr,1,04:00,down,13,2.13,0.33,0.35,0.45,1.01,1.77,29.9
mfrr,1,04:00,up,5,19.77,6.51,7.94,14.47,17.38,18.81,359.8
mfrr,2,08:00,down,17,4.62,0.33,0.37,0.59,1.02,2.18,32.9
mfrr,2,08:00,up,6,20.99,6.70,8.23,13.41,19.14,20.36,348.5
mfrr,3,12:00,down,10,3.81,0.33,0.41,0.69,1.77,2.35,29.1
mfrr,3,12:00,up,5,20.97,6.46,7.84,9.36,14.44,18.36,351.2
mfrr,4,16:00,down,15,3.33,0.32,0.34,0.41,0.90,2.05,32.7
mfrr,4,16:00,up,8,20.91,8.26,11.99,15.86,19.77,20.22,372.5
mfrr,5,20:00,down,12,2.09,0.21,0.33,0.39,0.58,0.99,29.8
mfrr,5,20:00,up,7,20.97,6.90,10.29,14.37,18.66,20.36,372.1
