date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2024-09-01,0,00:00,down,5,82.00,50.00,50.00,64.00,65.00,75.20,163.0
2024-09-01,0,00:00,up,4,82.00,50.00,50.00,57.00,68.50,76.60,143.0
2024-09-01,1,04:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,1,04:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,2,08:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,2,08:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,3,12:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,3,12:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,4,16:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,4,16:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,5,20:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-01,5,20:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,0,00:00,down,5,82.00,50.00,50.00,64.00,65.00,75.20,163.0
2024-09-02,0,00:00,up,4,82.00,50.00,50.00,57.00,68.50,76.60,143.0
2024-09-02,1,04:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,1,04:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,2,08:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,2,08:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,3,12:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,3,12:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,4,16:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,4,16:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,5,20:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-02,5,20:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-03,0,00:00,down,4,82.00,65.00,65.00,67.50,73.00,78.40,149.0
2024-09-03,0,00:00,up,3,82.00,66.00,67.50,70.00,76.00,79.60,129.0
2024-09-03,1,04:00,down,1,82.00,82.00,82.00,82.00,82.00,82.00,125.0
2024-09-03,1,04:00,up,1,82.00,82.00,82.00,82.00,82.00,82.00,125.0
2024-09-04,0,00:00,down,5,82.00,50.00,50.00,65.00,65.00,75.20,163.0
2024-09-04,0,00:00,up,4,82.00,50.00,50.00,57.50,69.25,76.90,143.0
2024-09-04,1,04:00,down,3,82.00,50.00,50.00,50.00,66.00,75.60,139.0
2024-09-04,1,04:00,up,3,82.00,50.00,50.00,50.00,66.00,75.60,139.0
2024-09-04,2,08:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-04,2,08:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-04,3,12:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-04,3,12:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-04,4,16:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-04,4,16:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-04,5,20:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-04,5,20:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,0,00:00,down,5,82.00,50.00,50.00,65.00,70.00,77.20,163.0
2024-09-05,0,00:00,up,4,82.00,50.00,50.00,60.00,73.00,78.40,143.0
2024-09-05,1,04:00,down,3,82.00,50.00,50.00,50.00,66.00,75.60,139.0
2024-09-05,1,04:00,up,3,82.00,50.00,50.00,50.00,66.00,75.60,139.0
2024-09-05,2,08:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,2,08:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,3,12:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,3,12:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,4,16:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,4,16:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,5,20:00,down,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-05,5,20:00,up,2,50.00,50.00,50.00,50.00,50.00,50.00,14.0
2024-09-06,0,00:00,down,5,82.00,50.00,50.00,65.00,80.00,81.20,163.0
2024-09-06,0,00:00,up,4,82.00,50.00,50.00,65.00,80.50,81.40,143.0
