date,hour,interval_start,price_eur_mwh,volume_mwh
2024-01-01,0,2024-01-01T00:00:00,0.1,3398.0
2024-01-01,1,2024-01-01T01:00:00,0.01,3308.5
2024-01-01,2,2024-01-01T02:00:00,0.02,3237.1
2024-01-01,3,2024-01-01T03:00:00,0.0,3161.9
2024-01-01,4,2024-01-01T04:00:00,-0.01,3238.7
2024-01-01,5,2024-01-01T05:00:00,-0.01,3225.1
2024-01-01,6,2024-01-01T06:00:00,0.0,3292.6
2024-01-01,7,2024-01-01T07:00:00,0.0,3245.9
2024-01-01,8,2024-01-01T08:00:00,0.0,3299.3
2024-01-01,9,2024-01-01T09:00:00,0.04,3126.6
2024-01-01,10,2024-01-01T10:00:00,0.06,2982.4
2024-01-01,11,2024-01-01T11:00:00,0.54,2805.8
2024-01-01,12,2024-01-01T12:00:00,2.24,2754.4
2024-01-01,13,2024-01-01T13:00:00,2.53,2717.6
2024-01-01,14,2024-01-01T14:00:00,4.89,2700.7
2024-01-01,15,2024-01-01T15:00:00,24.04,2485.1
2024-01-01,16,2024-01-01T16:00:00,49.26,2780.7
2024-01-01,17,2024-01-01T17:00:00,57.21,2787.5
2024-01-01,18,2024-01-01T18:00:00,59.85,2729.4
2024-01-01,19,2024-01-01T19:00:00,54.76,2750.1
2024-01-01,20,2024-01-01T20:00:00,48.41,2759.7
2024-01-01,21,2024-01-01T21:00:00,42.27,2865.3
2024-01-01,22,2024-01-01T22:00:00,46.32,2630.7
2024-01-01,23,2024-01-01T23:00:00,35.55,2666.8
2024-01-02,0,2024-01-02T00:00:00,30.07,2672.9
2024-01-02,1,2024-01-02T01:00:00,19.89,2608.6
2024-01-02,2,2024-01-02T02:00:00,29.6,2670.2
2024-01-02,3,2024-01-02T03:00:00,17.54,2730.0
2024-01-02,4,2024-01-02T04:00:00,10.55,2661.2
2024-01-02,5,2024-01-02T05:00:00,28.22,2419.0
2024-01-02,6,2024-01-02T06:00:00,47.13,2214.1
2024-01-02,7,2024-01-02T07:00:00,65.43,2522.4
2024-01-02,8,2024-01-02T08:00:00,71.3,2554.2
2024-01-02,9,2024-01-02T09:00:00,70.16,2617.3
2024-01-02,10,2024-01-02T10:00:00,71.77,2597.8
2024-01-02,11,2024-01-02T11:00:00,75.33,2599.0
2024-01-02,12,2024-01-02T12:00:00,79.71,2643.3
2024-01-02,13,2024-01-02T13:00:00,80.61,2672.7
2024-01-02,14,2024-01-02T14:00:00,82.18,2588.8
2024-01-02,15,2024-01-02T15:00:00,83.04,2573.2
2024-01-02,16,2024-01-02T16:00:00,85.91,2610.9
2024-01-02,17,2024-01-02T17:00:00,84.07,2597.0
2024-01-02,18,2024-01-02T18:00:00,78.11,2571.6
2024-01-02,19,2024-01-02T19:00:00,68.82,2525.8
2024-01-02,20,2024-01-02T20:00:00,58.56,2392.5
2024-01-02,21,2024-01-02T21:00:00,47.61,2149.3
2024-01-02,22,2024-01-02T22:00:00,40.62,1946.9
2024-01-02,23,2024-01-02T23:00:00,17.77,2149.7
2024-01-03,0,2024-01-03T00:00:00,11.81,2268.1
2024-01-03,1,2024-01-03T01:00:00,10.64,2148.8
2024-01-03,2,2024-01-03T02:00:00,10.09,2093.5
2024-01-03,3,2024-01-03T03:00:00,9.76,2120.0
2024-01-03,4,2024-01-03T04:00:00,10.42,2194.5
2024-01-03,5,2024-01-03T05:00:00,11.72,2174.2
2024-01-03,6,2024-01-03T06:00:00,36.04,2779.1
2024-01-03,7,2024-01-03T07:00:00,43.58,2977.7
2024-01-03,8,2024-01-03T08:00:00,62.66,2939.9
2024-01-03,9,2024-01-03T09:00:00,65.47,2999.9
2024-01-03,10,2024-01-03T10:00:00,60.0,2969.5
2024-01-03,11,2024-01-03T11:00:00,56.99,2958.4
2024-01-03,12,2024-01-03T12:00:00,55.99,2967.0
2024-01-03,13,2024-01-03T13:00:00,56.02,2987.3
2024-01-03,14,2024-01-03T14:00:00,62.14,2851.5
2024-01-03,15,2024-01-03T15:00:00,70.55,2838.8
2024-01-03,16,2024-01-03T16:00:00,77.63,2858.1
2024-01-03,17,2024-01-03T17:00:00,84.23,2807.2
2024-01-03,18,2024-01-03T18:00:00,85.17,2706.3
2024-01-03,19,2024-01-03T19:00:00,81.94,2663.9
2024-01-03,20,2024-01-03T20:00:00,73.23,2520.3
2024-01-03,21,2024-01-03T21:00:00,67.41,2283.9
2024-01-03,22,2024-01-03T22:00:00,65.0,2235.1
2024-01-03,23,2024-01-03T23:00:00,58.12,2279.7
2024-01-04,0,2024-01-04T00:00:00,57.3,2607.1
2024-01-04,1,2024-01-04T01:00:00,50.46,2001.5
2024-01-04,2,2024-01-04T02:00:00,40.0,2089.5
2024-01-04,3,2024-01-04T03:00:00,25.48,2094.4
2024-01-04,4,2024-01-04T04:00:00,35.0,2113.7
2024-01-04,5,2024-01-04T05:00:00,57.73,2454.9
2024-01-04,6,2024-01-04T06:00:00,72.65,2629.1
2024-01-04,7,2024-01-04T07:00:00,85.02,2913.6
2024-01-04,8,2024-01-04T08:00:00,91.47,2931.6
2024-01-04,9,2024-01-04T09:00:00,94.2,2974.0
2024-01-04,10,2024-01-04T10:00:00,91.83,2941.3
2024-01-04,11,2024-01-04T11:00:00,90.27,2911.2
2024-01-04,12,2024-01-04T12:00:00,86.5,2944.0
2024-01-04,13,2024-01-04T13:00:00,85.96,2950.7
2024-01-04,14,2024-01-04T14:00:00,92.11,3377.5
2024-01-04,15,2024-01-04T15:00:00,98.62,3535.6
2024-01-04,16,2024-01-04T16:00:00,105.0,3701.5
2024-01-04,17,2024-01-04T17:00:00,118.88,3881.4
2024-01-04,18,2024-01-04T18:00:00,123.53,4058.6
2024-01-04,19,2024-01-04T19:00:00,115.09,3966.0
2024-01-04,20,2024-01-04T20:00:00,101.98,3925.1
2024-01-04,21,2024-01-04T21:00:00,96.84,3993.4
2024-01-04,22,2024-01-04T22:00:00,93.18,4021.4
2024-01-04,23,2024-01-04T23:00:00,88.74,3521.9
