date,hour,minute,interval_start,price_eur_mwh,volume_mwh
2026-01-01,0,0,2026-01-01T00:00:00,109.8,681.625
2026-01-01,0,15,2026-01-01T00:15:00,103.58,684.0
2026-01-01,0,30,2026-01-01T00:30:00,113.5,696.15
2026-01-01,0,45,2026-01-01T00:45:00,119.3,702.6
2026-01-01,1,0,2026-01-01T01:00:00,105.0,698.1
2026-01-01,1,15,2026-01-01T01:15:00,114.44,697.925
2026-01-01,1,30,2026-01-01T01:30:00,122.08,701.375
2026-01-01,1,45,2026-01-01T01:45:00,121.55,697.2
2026-01-01,2,0,2026-01-01T02:00:00,130.44,719.15
2026-01-01,2,15,2026-01-01T02:15:00,127.88,726.95
2026-01-01,2,30,2026-01-01T02:30:00,122.77,731.25
2026-01-01,2,45,2026-01-01T02:45:00,118.64,739.4
2026-01-01,3,0,2026-01-01T03:00:00,118.84,729.15
2026-01-01,3,15,2026-01-01T03:15:00,115.31,733.475
2026-01-01,3,30,2026-01-01T03:30:00,88.0,735.225
2026-01-01,3,45,2026-01-01T03:45:00,84.01,738.35
2026-01-01,4,0,2026-01-01T04:00:00,89.23,739.775
2026-01-01,4,15,2026-01-01T04:15:00,84.0,736.1
2026-01-01,4,30,2026-01-01T04:30:00,84.0,736.825
2026-01-01,4,45,2026-01-01T04:45:00,96.37,743.625
2026-01-01,5,0,2026-01-01T05:00:00,83.51,708.5
2026-01-01,5,15,2026-01-01T05:15:00,83.76,714.175
2026-01-01,5,30,2026-01-01T05:30:00,88.52,719.85
2026-01-01,5,45,2026-01-01T05:45:00,78.65,709.575
2026-01-01,6,0,2026-01-01T06:00:00,78.84,748.15
2026-01-01,6,15,2026-01-01T06:15:00,84.01,757.075
2026-01-01,6,30,2026-01-01T06:30:00,87.95,758.0
2026-01-01,6,45,2026-01-01T06:45:00,102.0,755.875
2026-01-01,7,0,2026-01-01T07:00:00,83.51,739.0
2026-01-01,7,15,2026-01-01T07:15:00,94.0,739.925
2026-01-01,7,30,2026-01-01T07:30:00,91.28,741.7
2026-01-01,7,45,2026-01-01T07:45:00,84.01,735.8
2026-01-01,8,0,2026-01-01T08:00:00,42.64,840.575
2026-01-01,8,15,2026-01-01T08:15:00,67.43,904.6
2026-01-01,8,30,2026-01-01T08:30:00,72.17,1001.55
2026-01-01,8,45,2026-01-01T08:45:00,66.15,1022.375
2026-01-01,9,0,2026-01-01T09:00:00,72.0,1027.9
2026-01-01,9,15,2026-01-01T09:15:00,68.0,1029.5
2026-01-01,9,30,2026-01-01T09:30:00,41.27,1046.8
2026-01-01,9,45,2026-01-01T09:45:00,14.13,1055.825
2026-01-01,10,0,2026-01-01T10:00:00,62.54,1053.775
2026-01-01,10,15,2026-01-01T10:15:00,33.42,1057.45
2026-01-01,10,30,2026-01-01T10:30:00,29.96,1059.375
2026-01-01,10,45,2026-01-01T10:45:00,14.02,1067.7
2026-01-01,11,0,2026-01-01T11:00:00,56.87,1062.125
2026-01-01,11,15,2026-01-01T11:15:00,31.03,1064.6
2026-01-01,11,30,2026-01-01T11:30:00,35.2,1068.65
2026-01-01,11,45,2026-01-01T11:45:00,28.37,1071.575
2026-01-01,12,0,2026-01-01T12:00:00,36.23,1080.625
2026-01-01,12,15,2026-01-01T12:15:00,42.47,1080.325
2026-01-01,12,30,2026-01-01T12:30:00,48.48,1081.275
2026-01-01,12,45,2026-01-01T12:45:00,57.0,1076.975
2026-01-01,13,0,2026-01-01T13:00:00,55.48,1085.3
2026-01-01,13,15,2026-01-01T13:15:00,55.67,1087.825
2026-01-01,13,30,2026-01-01T13:30:00,55.13,1081.925
2026-01-01,13,45,2026-01-01T13:45:00,57.0,1012.85
2026-01-01,14,0,2026-01-01T14:00:00,59.91,966.375
2026-01-01,14,15,2026-01-01T14:15:00,83.01,888.85
2026-01-01,14,30,2026-01-01T14:30:00,83.76,759.55
2026-01-01,14,45,2026-01-01T14:45:00,126.12,767.025
2026-01-01,15,0,2026-01-01T15:00:00,86.6,803.3
2026-01-01,15,15,2026-01-01T15:15:00,100.0,806.2
2026-01-01,15,30,2026-01-01T15:30:00,104.15,801.925
2026-01-01,15,45,2026-01-01T15:45:00,114.69,796.075
2026-01-01,16,0,2026-01-01T16:00:00,83.76,784.925
2026-01-01,16,15,2026-01-01T16:15:00,99.22,776.45
2026-01-01,16,30,2026-01-01T16:30:00,125.0,771.425
2026-01-01,16,45,2026-01-01T16:45:00,131.98,770.7
