date,hour,interval_start,price_eur_mwh
2025-01-01,0,2025-01-01T00:00:00,138.70
2025-01-01,1,2025-01-01T01:00:00,134.06
2025-01-01,2,2025-01-01T02:00:00,124.42
2025-01-01,3,2025-01-01T03:00:00,84.48
2025-01-01,4,2025-01-01T04:00:00,64.28
2025-01-01,5,2025-01-01T05:00:00,66.70
2025-01-01,6,2025-01-01T06:00:00,62.42
2025-01-01,7,2025-01-01T07:00:00,56.78
2025-01-01,8,2025-01-01T08:00:00,29.22
2025-01-01,9,2025-01-01T09:00:00,41.43
2025-01-01,10,2025-01-01T10:00:00,28.98
2025-01-01,11,2025-01-01T11:00:00,32.80
2025-01-01,12,2025-01-01T12:00:00,36.56
2025-01-01,13,2025-01-01T13:00:00,53.17
2025-01-01,14,2025-01-01T14:00:00,66.80
2025-01-01,15,2025-01-01T15:00:00,90.51
2025-01-01,16,2025-01-01T16:00:00,120.79
2025-01-01,17,2025-01-01T17:00:00,145.37
2025-01-01,18,2025-01-01T18:00:00,142.10
2025-01-01,19,2025-01-01T19:00:00,149.55
2025-01-01,20,2025-01-01T20:00:00,139.62
2025-01-01,21,2025-01-01T21:00:00,131.40
2025-01-01,22,2025-01-01T22:00:00,107.60
2025-01-01,23,2025-01-01T23:00:00,65.10
2025-01-02,0,2025-01-02T00:00:00,57.07
2025-01-02,1,2025-01-02T01:00:00,67.80
2025-01-02,2,2025-01-02T02:00:00,70.66
2025-01-02,3,2025-01-02T03:00:00,45.61
2025-01-02,4,2025-01-02T04:00:00,52.68
2025-01-02,5,2025-01-02T05:00:00,72.84
2025-01-02,6,2025-01-02T06:00:00,114.75
2025-01-02,7,2025-01-02T07:00:00,139.00
2025-01-02,8,2025-01-02T08:00:00,129.07
2025-01-02,9,2025-01-02T09:00:00,129.78
2025-01-02,10,2025-01-02T10:00:00,128.35
2025-01-02,11,2025-01-02T11:00:00,123.15
2025-01-02,12,2025-01-02T12:00:00,121.94
2025-01-02,13,2025-01-02T13:00:00,116.30
2025-01-02,14,2025-01-02T14:00:00,124.51
2025-01-02,15,2025-01-02T15:00:00,130.11
2025-01-02,16,2025-01-02T16:00:00,159.64
2025-01-02,17,2025-01-02T17:00:00,170.00
2025-01-02,18,2025-01-02T18:00:00,159.64
2025-01-02,19,2025-01-02T19:00:00,149.55
2025-01-02,20,2025-01-02T20:00:00,131.19
2025-01-02,21,2025-01-02T21:00:00,123.80
2025-01-02,22,2025-01-02T22:00:00,116.81
2025-01-02,23,2025-01-02T23:00:00,95.74
2025-01-03,0,2025-01-03T00:00:00,103.05
2025-01-03,1,2025-01-03T01:00:00,93.56
2025-01-03,2,2025-01-03T02:00:00,88.89
2025-01-03,3,2025-01-03T03:00:00,86.89
2025-01-03,4,2025-01-03T04:00:00,84.01
2025-01-03,5,2025-01-03T05:00:00,91.11
2025-01-03,6,2025-01-03T06:00:00,111.22
2025-01-03,7,2025-01-03T07:00:00,141.00
2025-01-03,8,2025-01-03T08:00:00,141.68
2025-01-03,9,2025-01-03T09:00:00,137.29
2025-01-03,10,2025-01-03T10:00:00,123.59
2025-01-03,11,2025-01-03T11:00:00,110.35
2025-01-03,12,2025-01-03T12:00:00,110.34
2025-01-03,13,2025-01-03T13:00:00,109.11
2025-01-03,14,2025-01-03T14:00:00,117.00
2025-01-03,15,2025-01-03T15:00:00,132.20
2025-01-03,16,2025-01-03T16:00:00,158.05
2025-01-03,17,2025-01-03T17:00:00,152.00
2025-01-03,18,2025-01-03T18:00:00,150.00
2025-01-03,19,2025-01-03T19:00:00,149.66
2025-01-03,20,2025-01-03T20:00:00,138.09
2025-01-03,21,2025-01-03T21:00:00,122.13
2025-01-03,22,2025-01-03T22:00:00,129.58
2025-01-03,23,2025-01-03T23:00:00,123.92
2025-01-04,0,2025-01-04T00:00:00,110.98
2025-01-04,1,2025-01-04T01:00:00,105.09
2025-01-04,2,2025-01-04T02:00:00,98.81
2025-01-04,3,2025-01-04T03:00:00,97.34
2025-01-04,4,2025-01-04T04:00:00,99.09
2025-01-04,5,2025-01-04T05:00:00,104.51
2025-01-04,6,2025-01-04T06:00:00,111.75
2025-01-04,7,2025-01-04T07:00:00,128.99
2025-01-04,8,2025-01-04T08:00:00,128.39
2025-01-04,9,2025-01-04T09:00:00,130.75
2025-01-04,10,2025-01-04T10:00:00,130.34
2025-01-04,11,2025-01-04T11:00:00,128.29
2025-01-04,12,2025-01-04T12:00:00,130.03
2025-01-04,13,2025-01-04T13:00:00,129.85
2025-01-04,14,2025-01-04T14:00:00,136.40
2025-01-04,15,2025-01-04T15:00:00,143.93
2025-01-04,16,2025-01-04T16:00:00,191.68
2025-01-04,17,2025-01-04T17:00:00,189.26
2025-01-04,18,2025-01-04T18:00:00,191.00
2025-01-04,19,2025-01-04T19:00:00,192.33
2025-01-04,20,2025-01-04T20:00:00,160.19
2025-01-04,21,2025-01-04T21:00:00,153.29
2025-01-04,22,2025-01-04T22:00:00,147.08
2025-01-04,23,2025-01-04T23:00:00,121.99
2025-01-05,0,2025-01-05T00:00:00,112.62
2025-01-05,1,2025-01-05T01:00:00,110.34
2025-01-05,2,2025-01-05T02:00:00,96.06
2025-01-05,3,2025-01-05T03:00:00,94.95
2025-01-05,4,2025-01-05T04:00:00,93.86
2025-01-05,5,2025-01-05T05:00:00,90.33
2025-01-05,6,2025-01-05T06:00:00,92.87
2025-01-05,7,2025-01-05T07:00:00,115.86
2025-01-05,8,2025-01-05T08:00:00,97.88
2025-01-05,9,2025-01-05T09:00:00,99.52
2025-01-05,10,2025-01-05T10:00:00,95.51
2025-01-05,11,2025-01-05T11:00:00,100.27
2025-01-05,12,2025-01-05T12:00:00,96.72
2025-01-05,13,2025-01-05T13:00:00,104.49
2025-01-05,14,2025-01-05T14:00:00,115.39
2025-01-05,15,2025-01-05T15:00:00,141.72
2025-01-05,16,2025-01-05T16:00:00,216.40
2025-01-05,17,2025-01-05T17:00:00,185.18
2025-01-05,18,2025-01-05T18:00:00,165.00
2025-01-05,19,2025-01-05T19:00:00,166.00
2025-01-05,20,2025-01-05T20:00:00,159.98
2025-01-05,21,2025-01-05T21:00:00,149.18
2025-01-05,22,2025-01-05T22:00:00,107.98
2025-01-05,23,2025-01-05T23:00:00,74.08
2025-01-06,0,2025-01-06T00:00:00,107.63
2025-01-06,1,2025-01-06T01:00:00,94.76
2025-01-06,2,2025-01-06T02:00:00,74.32
2025-01-06,3,2025-01-06T03:00:00,73.04
2025-01-06,4,2025-01-06T04:00:00,72.38
2025-01-06,5,2025-01-06T05:00:00,99.30
2025-01-06,6,2025-01-06T06:00:00,129.58
2025-01-06,7,2025-01-06T07:00:00,133.52
2025-01-06,8,2025-01-06T08:00:00,130.72
2025-01-06,9,2025-01-06T09:00:00,113.27
2025-01-06,10,2025-01-06T10:00:00,94.88
2025-01-06,11,2025-01-06T11:00:00,74.64
2025-01-06,12,2025-01-06T12:00:00,80.05
2025-01-06,13,2025-01-06T13:00:00,101.12
2025-01-06,14,2025-01-06T14:00:00,116.55
2025-01-06,15,2025-01-06T15:00:00,138.34
2025-01-06,16,2025-01-06T16:00:00,154.51
2025-01-06,17,2025-01-06T17:00:00,167.68
2025-01-06,18,2025-01-06T18:00:00,155.32
2025-01-06,19,2025-01-06T19:00:00,153.30
2025-01-06,20,2025-01-06T20:00:00,147.36
2025-01-06,21,2025-01-06T21:00:00,122.76
2025-01-06,22,2025-01-06T22:00:00,116.90
2025-01-06,23,2025-01-06T23:00:00,87.08
2025-01-07,0,2025-01-07T00:00:00,33.17
2025-01-07,1,2025-01-07T01:00:00,55.99
2025-01-07,2,2025-01-07T02:00:00,50.93
2025-01-07,3,2025-01-07T03:00:00,13.13
2025-01-07,4,2025-01-07T04:00:00,66.34
2025-01-07,5,2025-01-07T05:00:00,82.94
2025-01-07,6,2025-01-07T06:00:00,133.42
2025-01-07,7,2025-01-07T07:00:00,165.11
2025-01-07,8,2025-01-07T08:00:00,152.33
2025-01-07,9,2025-01-07T09:00:00,132.99
2025-01-07,10,2025-01-07T10:00:00,122.49
2025-01-07,11,2025-01-07T11:00:00,122.41
2025-01-07,12,2025-01-07T12:00:00,123.72
2025-01-07,13,2025-01-07T13:00:00,133.16
2025-01-07,14,2025-01-07T14:00:00,140.51
2025-01-07,15,2025-01-07T15:00:00,148.49
2025-01-07,16,2025-01-07T16:00:00,163.60
2025-01-07,17,2025-01-07T17:00:00,170.00
2025-01-07,18,2025-01-07T18:00:00,162.14
2025-01-07,19,2025-01-07T19:00:00,158.87
2025-01-07,20,2025-01-07T20:00:00,150.00
2025-01-07,21,2025-01-07T21:00:00,134.19
2025-01-07,22,2025-01-07T22:00:00,121.36
2025-01-07,23,2025-01-07T23:00:00,105.85
2025-01-08,0,2025-01-08T00:00:00,83.60
2025-01-08,1,2025-01-08T01:00:00,74.64
2025-01-08,2,2025-01-08T02:00:00,72.07
2025-01-08,3,2025-01-08T03:00:00,68.96
2025-01-08,4,2025-01-08T04:00:00,83.14
2025-01-08,5,2025-01-08T05:00:00,108.01
2025-01-08,6,2025-01-08T06:00:00,129.91
2025-01-08,7,2025-01-08T07:00:00,156.10
2025-01-08,8,2025-01-08T08:00:00,151.67
2025-01-08,9,2025-01-08T09:00:00,123.67
2025-01-08,10,2025-01-08T10:00:00,107.16
2025-01-08,11,2025-01-08T11:00:00,101.76
2025-01-08,12,2025-01-08T12:00:00,103.29
2025-01-08,13,2025-01-08T13:00:00,114.95
2025-01-08,14,2025-01-08T14:00:00,124.83
2025-01-08,15,2025-01-08T15:00:00,143.39
2025-01-08,16,2025-01-08T16:00:00,152.73
2025-01-08,17,2025-01-08T17:00:00,155.22
2025-01-08,18,2025-01-08T18:00:00,152.01
2025-01-08,19,2025-01-08T19:00:00,150.35
2025-01-08,20,2025-01-08T20:00:00,139.00
2025-01-08,21,2025-01-08T21:00:00,126.19
2025-01-08,22,2025-01-08T22:00:00,116.33
2025-01-08,23,2025-01-08T23:00:00,105.94
2025-01-09,0,2025-01-09T00:00:00,105.23
2025-01-09,1,2025-01-09T01:00:00,104.86
2025-01-09,2,2025-01-09T02:00:00,102.62
2025-01-09,3,2025-01-09T03:00:00,100.82
2025-01-09,4,2025-01-09T04:00:00,105.00
2025-01-09,5,2025-01-09T05:00:00,108.29
